20.1277313 -27.6419144 CAP  O
20.4598637 -27.5913391 CAP  O
21.4554424 -27.4596672 CAP  O
21.4538517 -24.9597607 CAP  O
21.9846859 -24.9040413 CAP  O
21.9770775 -08.4043999 CAP  O
21.4445610 -08.4602947 CAP  O
21.4477634 -14.4601107 CAP  O
20.6495934 -14.5631361 CAP  O
 0.4400886 +00.6925398 CET  O
 0.4402525 +02.6925383 CET  O
 2.1076844 +02.5978806 CET  O
 2.1110165 +10.5143948 CET  O
 3.3964274 +10.3632069 CET  O
 3.3901989 +00.4469725 CET  O
 3.3891122 -01.3029516 CET  O
 2.7559481 -01.2210265 CET  O
 2.7432506 -23.8536034 CET  O
 1.7643999 -23.7562580 CET  O
 1.7639259 -24.8729095 CET  O
23.9407043 -24.8042011 CET  O
23.9402199 -06.3042021 CET  O
 0.4395135 -06.3074551 CET  O
 5.0649629 -42.8255501 COL  O
 5.0836625 -27.0772038 COL  O
 6.1995044 -27.2787991 COL  O
 6.1932712 -33.0282326 COL  O
 6.6602573 -33.1128159 COL  O
 6.6472611 -43.1116486 COL  O
 6.0634518 -43.0057793 COL  O
11.9736357 +13.3040485 COM  O
11.9739294 +28.3040466 COM  O
12.1063776 +28.3039627 COM  O
12.1063004 +33.3039627 COM  O
12.4369507 +33.3074303 COM  O
12.4371796 +31.3074341 COM  O
13.3471832 +31.3437366 COM  O
13.3484383 +27.8437748 COM  O
13.5969248 +27.8603134 COM  O
13.6019287 +14.3604937 COM  O
12.9372711 +14.3225088 COM  O
12.9374685 +13.3225126 COM  O
17.9750309 -37.0174599 CRA  O
19.3064213 -36.7785645 CRA  O
19.3179760 -45.2775650 CRA  O
18.1539345 -45.4859734 CRA  O
17.9872856 -45.5163460 CRA  O
15.2733011 +25.5380573 CRB  O
15.2677279 +32.5376778 CRB  O
15.5164652 +32.5726128 CRB  O
15.5095768 +39.5721130 CRB  O
15.8243618 +39.6189079 CRB  O
16.4047966 +39.7117195 CRB  O
16.4186535 +26.7128716 CRB  O
16.2524471 +26.6855240 CRB  O
16.2533455 +25.6855946 CRB  O
16.1203823 +25.6641407 CRB  O
12.9422035 -11.6773882 CRV  O
11.9397840 -11.6957970 CRV  O
11.9394207 -25.1957951 CRV  O
12.6936350 -25.1864014 CRV  O
12.6932335 -22.6864090 CRV  O
12.9444580 -22.6773415 CRV  O
10.8551426 -06.6621790 CRT  O
10.8538609 -11.6621428 CRT  O
10.8517027 -19.6620827 CRT  O
10.9353724 -19.6666222 CRT  O
10.9338722 -25.1665821 CRT  O
11.9394207 -25.1957951 CRT  O
11.9397840 -11.6957970 CRT  O
11.9399071 -06.6957974 CRT  O
11.6228199 -06.6916924 CRT  O
19.3421764 +27.7324085 CYG  O
19.3396835 +30.2321968 CYG  O
19.4399185 +30.2493153 CYG  O
19.4328403 +36.7487144 CYG  O
19.4746437 +36.7558022 CYG  O
19.4655685 +43.7550354 CYG  O
19.2313538 +43.7149391 CYG  O
19.2250347 +47.7143936 CYG  O
19.1413765 +47.6998672 CYG  O
19.1250973 +55.6984482 CYG  O
19.4603062 +55.7560043 CYG  O
19.4539700 +58.2554703 CYG  O
19.8067036 +58.3138733 CYG  O
19.8026161 +59.8135414 CYG  O
20.0382175 +59.8510780 CYG  O
20.5811062 +59.9322395 CYG  O
20.5773869 +61.3486443 CYG  O
20.6415863 +61.3576965 CYG  O
20.6554241 +55.2753258 CYG  O
22.0401459 +55.4364891 CYG  O
22.0426140 +53.3532715 CYG  O
22.0508442 +44.6036453 CYG  O
21.9919071 +44.5982513 CYG  O
21.9921093 +44.3482628 CYG  O
21.9584427 +44.3451195 CYG  O
21.9640675 +36.5953827 CYG  O
21.8213310 +36.5815468 CYG  O
21.8263454 +28.5817947 CYG  O
21.5080109 +28.5480537 CYG  O
21.0055943 +28.4871883 CYG  O
21.0048389 +29.4871387 CYG  O
19.7500629 +29.3010578 CYG  O
19.7514801 +27.8011742 CYG  O
20.6386585 +02.4360874 DEL  O
20.4052734 +02.4021468 DEL  O
20.4009304 +08.9018240 DEL  O
20.2424450 +08.8779116 DEL  O
20.2372665 +16.1275158 DEL  O
20.3457966 +16.1439629 DEL  O
20.3422699 +20.8936996 DEL  O
20.6597958 +20.9399471 DEL  O
20.6605110 +19.9399967 DEL  O
21.1452522 +20.0046406 DEL  O
21.1498909 +12.3382607 DEL  O
20.9745731 +12.3157644 DEL  O
20.9780731 +06.4826641 DEL  O
20.9363670 +06.4771614 DEL  O
20.9387398 +02.4773185 DEL  O
20.9387398 +02.4773185 EQU  O
20.9363670 +06.4771614 EQU  O
20.9780731 +06.4826641 EQU  O
20.9745731 +12.3157644 EQU  O
21.1498909 +12.3382607 EQU  O
21.2166843 +12.3465548 EQU  O
21.2163010 +13.0132008 EQU  O
21.4334068 +13.0390635 EQU  O
21.4388981 +02.5393796 EQU  O
 3.6901937 +00.4037257 ERI  O
 4.7234907 +00.2375014 ERI  O
 4.7734876 +00.2289162 ERI  O
 4.7704239 -03.7708201 ERI  O
 5.1869597 -03.8437285 ERI  O
 5.1813354 -10.8432293 ERI  O
 5.0147834 -10.8138046 ERI  O
 5.0119143 -14.3135529 ERI  O
 4.9286532 -14.2989721 ERI  O
 4.9172864 -27.0479794 ERI  O
 4.7842221 -27.0248775 ERI  O
 4.7814946 -29.7746429 ERI  O
 4.6651101 -29.7546597 ERI  O
 4.6574917 -36.7540054 ERI  O
 4.3419900 -36.7010231 ERI  O
 4.3384275 -39.7007294 ERI  O
 3.9403923 -39.6368256 ERI  O
 3.9354243 -43.6364403 ERI  O
 3.4884515 -43.5694046 ERI  O
 3.4859335 -45.5692215 ERI  O
 3.0727181 -45.5124779 ERI  O
 3.0689676 -48.5122337 ERI  O
 2.7390206 -48.4710045 ERI  O
 2.7365129 -50.4708595 ERI  O
 2.4894140 -50.4425697 ERI  O
 2.4855564 -53.4423561 ERI  O
 2.2389429 -53.4164696 ERI  O
 2.2326283 -57.9161568 ERI  O
 1.4137486 -57.8484154 ERI  O
