6	45	8.9	-	16	42	58	-1.46
14	15	39.7	+	19	10	57	-0.04
5	14	32.3	-	8	12	6	0.12
7	39	18.1	+	5	13	30	0.38
5	55	10.3	+	7	24	25	0.5
19	50	47	+	8	52	6	0.77
4	35	55.2	+	16	30	33	0.85
16	29	24.4	-	26	25	55	0.96
13	25	11.6	-	11	9	41	0.98
7	45	18.9	+	28	1	34	1.14
22	57	39.1	-	29	37	20	1.16
10	8	22.3	+	11	58	2	1.35
6	58	37.5	-	28	58	20	1.5
5	25	7.9	+	6	20	59	1.64
5	26	17.5	+	28	36	27	1.65
5	36	12.8	-	1	12	7	1.7
7	8	23.5	-	26	23	36	1.84
18	24	10.3	-	34	23	5	1.85
6	37	42.7	+	16	23	57	1.93
6	22	42	-	17	57	21	1.98
7	34	36	+	31	53	18	1.98
9	27	35.2	-	8	39	31	1.98
2	7	10.4	+	23	27	45	2
15	59	30.2	+	25	55	13	2
18	55	15.9	-	26	17	48	2.02
0	43	35.4	-	17	59	12	2.04
5	40	45.5	-	1	56	34	2.05
0	8	23.3	+	29	5	26	2.06
5	47	45.4	-	9	40	11	2.06
17	34	56.1	+	12	33	36	2.08
11	49	3.6	+	14	34	19	2.14
5	32	0.4	-	0	17	57	2.23
15	34	41.3	+	26	42	53	2.23
16	50	9.8	-	34	17	36	2.29
16	0	20	-	22	37	18	2.32
21	44	11.2	+	9	52	30	2.39
23	3	46.5	+	28	4	58	2.42
17	10	22.7	-	15	43	29	2.43
7	24	5.7	-	29	18	11	2.45
20	46	12.7	+	33	58	13	2.46
23	4	45.7	+	15	12	19	2.49
3	2	16.8	+	4	5	23	2.53
11	14	6.5	+	20	31	25	2.56
16	37	9.5	-	10	34	2	2.56
5	32	43.8	-	17	49	20	2.58
12	15	48.4	-	17	32	31	2.59
19	2	36.7	-	29	52	49	2.6
10	19	58.3	+	19	50	30	2.61
15	17	0.4	-	9	22	59	2.61
16	5	26.2	-	19	48	20	2.62
1	54	38.4	+	20	48	29	2.64
5	39	38.9	-	34	4	27	2.64
12	34	23.2	-	23	23	48	2.65
15	44	16.1	+	6	25	32	2.65
13	54	41.1	+	18	23	52	2.68
4	56	59.6	+	33	9	58	2.69
14	44	59.2	+	27	4	27	2.7
18	20	59.7	-	29	49	41	2.7
19	46	15.6	+	10	36	48	2.72
16	14	20.7	-	3	41	40	2.74
14	50	52.7	-	16	2	30	2.75
5	35	26	-	5	54	36	2.77
16	30	13.2	+	21	29	23	2.77
17	43	28.4	+	4	34	2	2.77
5	7	51	-	5	5	11	2.79
8	7	32.6	-	24	18	15	2.81
16	41	17.2	+	31	36	11	2.81
18	27	58.2	-	25	25	18	2.81
16	35	53	-	28	12	58	2.82
0	13	14.2	+	15	11	1	2.83
13	2	10.6	+	10	57	33	2.83
5	28	14.7	-	20	45	34	2.84
3	54	7.9	+	31	53	1	2.85
3	47	29.1	+	24	6	18	2.87
21	47	2.4	-	16	7	38	2.87
6	22	57.6	+	22	30	49	2.88
7	34	36	+	31	53	19	2.88
15	58	51.1	-	26	6	51	2.89
16	21	11.3	-	25	35	34	2.89
19	9	45.8	-	21	1	25	2.89
7	27	9	+	8	17	22	2.9
21	31	33.5	-	5	34	16	2.91
22	43	0.1	+	30	13	17	2.94
3	58	1.8	-	13	30	31	2.95
12	29	51.9	-	16	30	56	2.95
22	5	47	-	0	19	11	2.96
6	43	55.9	+	25	7	52	2.98
9	45	51.1	+	23	46	27	2.98
18	5	48.5	-	30	25	27	2.99
19	5	24.6	+	13	51	48	2.99
2	9	32.6	+	34	59	14	3
5	37	38.7	+	21	8	33	3
12	10	7.5	-	22	37	11	3
13	18	55.3	-	23	10	18	3
6	20	18.8	-	30	3	48	3.02
7	3	1.5	-	23	50	0	3.02
2	19	20.7	-	2	58	39	3.04
19	30	43.3	+	27	57	35	3.08
20	21	0.7	-	14	46	53	3.08
8	55	23.6	+	5	56	44	3.11
10	49	37.5	-	16	11	37	3.11
9	21	3.3	+	34	23	33	3.13
17	15	1.9	+	24	50	21	3.14
18	45	39.4	-	26	59	27	3.17
4	49	50.4	+	6	57	41	3.19
5	5	27.7	-	22	22	16	3.19
16	57	40.1	+	9	22	30	3.2
21	12	56.2	+	30	13	37	3.2
20	11	18.3	-	0	49	17	3.23
16	18	19.3	-	4	41	33	3.24
18	58	56.6	+	32	41	22	3.24
18	21	18.6	-	2	53	56	3.26
0	39	19.7	+	30	51	39	3.27
14	6	22.3	-	26	40	57	3.27
17	22	0.6	-	24	59	58	3.27
22	54	39	-	15	49	15	3.27
6	14	52.6	+	22	30	24	3.28
15	4	4.2	-	25	16	55	3.29
5	12	55.9	-	16	12	20	3.31
19	6	56.4	-	27	40	14	3.32
7	49	17.7	-	24	51	35	3.34
11	14	14.4	+	15	25	46	3.34
17	59	1.6	-	9	46	25	3.34
